from;to;distancia;tiempo
5;107;21.97;00:34
5;108;24.65;00:42
5;109;21.5;00:34
5;110;22.83;00:37
5;111;20.75;00:31
5;112;24.56;00:42
5;113;24.09;00:41
5;114;29;00:42
5;115;27.71;00:41
5;116;13.65;00:29
5;117;21.98;00:36
5;118;23.36;00:42
5;119;27.9;00:40
5;120;28.72;00:42
5;121;22.16;00:35
5;122;22.9;00:38
5;123;21.08;00:30
5;124;14.13;00:31
5;125;14.19;00:32
5;126;14.49;00:32
5;127;30.43;00:46
5;128;21.51;00:30
5;129;29.64;00:44
5;130;21.64;00:34
5;131;14.18;00:30
5;132;14.76;00:33
5;133;22.68;00:37
5;134;30.12;00:45
5;135;30.55;00:47
5;136;17.43;00:32
5;137;30.39;00:47
5;138;22.23;00:30
5;139;15.36;00:29
5;140;30.28;00:46
5;141;22.47;00:34
5;142;24.33;00:41
5;143;18.03;00:31
5;144;29.32;00:44
5;145;22.69;00:37
5;146;23.99;00:39
5;147;22.29;00:32
5;148;22.02;00:30
5;149;16.54;00:30
5;150;23.65;00:39
5;151;15.56;00:34
5;152;22.84;00:34
5;153;30.11;00:45
5;154;23.95;00:41
5;155;16.84;00:31
5;156;40.46;00:36
5;157;18.19;00:31
5;158;24.11;00:41
5;159;18.03;00:33
5;160;41.92;00:41
5;161;29.9;00:44
5;162;42.01;00:40
5;163;22.84;00:31
5;164;28.5;00:42
5;165;24.16;00:37
5;166;27.79;00:41
5;167;16.61;00:35
